1;Ady Suleiman;Авторская песня, Шансон;Жанр
2;Albert Hammond;Авторская песня, Шансон;Жанр
3;Alex Clare;Авторская песня, Шансон;Жанр
4;Alice Merton;Авторская песня, Шансон;Жанр
5;Ali Gatie;Авторская песня, Шансон;Жанр
6;Alvaro Soler;Авторская песня, Шансон;Жанр
7;Amy Macdonald;Авторская песня, Шансон;Жанр
8;Anslem Douglas;Авторская песня, Шансон;Жанр
9;AURORA;Авторская песня, Шансон;Жанр
10;Bebe Rexha;Авторская песня, Шансон;Жанр
11;Beck;Авторская песня, Шансон;Жанр
12;Billie Eilish;Авторская песня, Шансон;Жанр
13;Birdy;Авторская песня, Шансон;Жанр
14;Bob Dylan;Авторская песня, Шансон;Жанр
15;BoyWithUke;Авторская песня, Шансон;Жанр
16;Burito;Авторская песня, Шансон;Жанр
17;Calum Scott;Авторская песня, Шансон;Жанр
18;Carly Rae Jepsen;Авторская песня, Шансон;Жанр
19;Cat Stevens;Авторская песня, Шансон;Жанр
20;Charles Aznavour;Авторская песня, Шансон;Жанр
21;Charlie Puth;Авторская песня, Шансон;Жанр
22;Charli XCX;Авторская песня, Шансон;Жанр
23;Christina Perri;Авторская песня, Шансон;Жанр
24;Daniel Powter;Авторская песня, Шансон;Жанр
25;DanyMuse;Авторская песня, Шансон;Жанр
26;David Bowie;Авторская песня, Шансон;Жанр
27;Daya;Авторская песня, Шансон;Жанр
28;Devendra Banhart;Авторская песня, Шансон;Жанр
29;Dido;Авторская песня, Шансон;Жанр
30;Domenico Modugno;Авторская песня, Шансон;Жанр
31;Don McLean;Авторская песня, Шансон;Жанр
32;Donovan;Авторская песня, Шансон;Жанр
33;Dotan;Авторская песня, Шансон;Жанр
34;Duncan Laurence;Авторская песня, Шансон;Жанр
35;Eagle-Eye Cherry;Авторская песня, Шансон;Жанр
36;Édith Piaf;Авторская песня, Шансон;Жанр
37;Ed Sheeran;Авторская песня, Шансон;Жанр
38;Ellie Goulding;Авторская песня, Шансон;Жанр
39;Elliott Smith;Авторская песня, Шансон;Жанр
40;Elvis Costello;Авторская песня, Шансон;Жанр
41;Em Beihold;Авторская песня, Шансон;Жанр
42;Eve;Авторская песня, Шансон;Жанр
43;Feist;Авторская песня, Шансон;Жанр
44;FINNEAS;Авторская песня, Шансон;Жанр
45;Fousheé;Авторская песня, Шансон;Жанр
46;Foxes;Авторская песня, Шансон;Жанр
47;Francesco Yates;Авторская песня, Шансон;Жанр
48;Gary Go;Авторская песня, Шансон;Жанр
49;Gary Jules;Авторская песня, Шансон;Жанр
50;GAYLE;Авторская песня, Шансон;Жанр
51;George Ezra;Авторская песня, Шансон;Жанр
52;Gotye;Авторская песня, Шансон;Жанр
53;grandson;Авторская песня, Шансон;Жанр
54;Grimes;Авторская песня, Шансон;Жанр
55;Halsey;Авторская песня, Шансон;Жанр
56;Hozier;Авторская песня, Шансон;Жанр
57;Ina Wroldsen;Авторская песня, Шансон;Жанр
58;In-Grid;Авторская песня, Шансон;Жанр
59;Jack Savoretti;Авторская песня, Шансон;Жанр
60;Jacques Brel;Авторская песня, Шансон;Жанр
61;James Arthur;Авторская песня, Шансон;Жанр
62;James Bay;Авторская песня, Шансон;Жанр
63;James Blake;Авторская песня, Шансон;Жанр
64;James Blunt;Авторская песня, Шансон;Жанр
65;James Newman;Авторская песня, Шансон;Жанр
66;Janis Ian;Авторская песня, Шансон;Жанр
67;Jason Mraz;Авторская песня, Шансон;Жанр
68;Jaymes Young;Авторская песня, Шансон;Жанр
69;Jeff Buckley;Авторская песня, Шансон;Жанр
70;Jesse McCartney;Авторская песня, Шансон;Жанр
71;Jess Glynne;Авторская песня, Шансон;Жанр
72;Jimmy Fontana;Авторская песня, Шансон;Жанр
73;Joe Dassin;Авторская песня, Шансон;Жанр
74;Joe Hickerson;Авторская песня, Шансон;Жанр
75;Joe South;Авторская песня, Шансон;Жанр
76;John Cooper Clarke;Авторская песня, Шансон;Жанр
77;John Mayer;Авторская песня, Шансон;Жанр
78;Jon Bellion;Авторская песня, Шансон;Жанр
79;JP Cooper;Авторская песня, Шансон;Жанр
80;Kate Bush;Авторская песня, Шансон;Жанр
81;Kenny Loggins;Авторская песня, Шансон;Жанр
82;Kesha;Авторская песня, Шансон;Жанр
83;Kiesza;Авторская песня, Шансон;Жанр
84;Kimbra;Авторская песня, Шансон;Жанр
85;Lana Del Rey;Авторская песня, Шансон;Жанр
86;Laura Nyro;Авторская песня, Шансон;Жанр
87;Lenny Kravitz;Авторская песня, Шансон;Жанр
88;Leonard Cohen;Авторская песня, Шансон;Жанр
89;Lewis Capaldi;Авторская песня, Шансон;Жанр
90;Lily Allen;Авторская песня, Шансон;Жанр
91;Lisa Loeb;Авторская песня, Шансон;Жанр
92;Lorde;Авторская песня, Шансон;Жанр
93;LP;Авторская песня, Шансон;Жанр
94;Madison Beer;Авторская песня, Шансон;Жанр
95;Mahsun Kırmızıgül;Авторская песня, Шансон;Жанр
96;Martika;Авторская песня, Шансон;Жанр
97;Matt Cardle;Авторская песня, Шансон;Жанр
98;Meghan Trainor;Авторская песня, Шансон;Жанр
99;Michael Penn;Авторская песня, Шансон;Жанр
100;MIKA;Авторская песня, Шансон;Жанр
101;Mike Posner;Авторская песня, Шансон;Жанр
102;Mikolas Josef;Авторская песня, Шансон;Жанр
103;MØ;Авторская песня, Шансон;Жанр
