1;If I Die;0:4:57;\N
2;Memories;0:5:35;\N
3;Need Somebody to Love;0:5:27;\N
4;Out of Luck;0:3:55;\N
5;Serious;0:4:14;\N
6;So Lost;0:3:52;\N
7;99 Miles from L.A;0:3:59;\N
8;Down by the River;0:3:1;\N
9;Half A Million Miles From Home;0:3:3;\N
10;Hot Kisses On A Hot Night;0:3:54;\N
11;If You Gotta Break Another Heart;0:2:34;\N
12;I'm a Train;0:3:20;\N
13;It Never Rains in Southern California;0:3:51;\N
14;Put A Hold On Your Heart;0:3:45;\N
15;The Air That I Breathe;0:3:48;\N
16;The Free Electric Band;0:3:24;\N
17;The Peacemaker;0:2:40;\N
18;These Are the Good Old Days;0:3:28;\N
19;Through The Eyes Of A Child;0:4:11;\N
20;When I'm Gone;0:4:24;\N
21;Where Were You;0:3:44;\N
22;Basic;0:3:15;\N
23;Just A Man;0:4:18;\N
24;Relax My Beloved;0:3:32;\N
25;Too Close;0:4:17;\N
26;Treading Water;0:3:39;\N
27;Up All Night;0:2:43;\N
28;Easy;0:3:11;\N
29;Funny Business;0:3:5;\N
30;Homesick;0:3:17;\N
31;Honeymoon Heartbreak;0:3:23;\N
32;I Don't Hold a Grudge;0:3:39;\N
33;Jealousy;0:3:40;\N
34;Keeps Me Awake;0:3:12;\N
35;Lash Out;0:3:15;\N
36;Learn To Live;0:3:56;\N
37;Lie To My Face;0:2:55;\N
38;No Roots;0:3:57;\N
39;Speak Your Mind;0:3:32;\N
40;Trouble In Paradise;0:2:57;\N
41;Vertigo;0:3:6;\N
42;Why So Serious;0:3:44;\N
43;It's You;0:3:33;\N
44;Moonlight;0:3:49;\N
45;Remedy;0:3:7;\N
46;Sunshine;0:2:48;\N
47;What If I Told You That I Love You;0:3:14;\N
48;Agosto;0:2:58;\N
49;Animal;0:3:54;\N
50;Bonita;0:2:40;\N
51;El Mismo Sol;0:3:0;\N
52;Esperándote;0:3:17;\N
53;Histérico;0:2:59;\N
54;La Cintura;0:3:25;\N
55;La Vida Seguirá;0:2:46;\N
56;Loca;0:3:11;\N
57;Magia;0:3:13;\N
58;Mi Corazón;0:3:10;\N
59;Puebla;0:3:10;\N
60;Que Pasa;0:3:11;\N
61;Sofia;0:3:31;\N
62;Volar;0:3:1;\N
63;A Wish For Something More;0:3:45;\N
64;Dream On;0:3:19;\N
65;Let's Start A Band;0:4:4;\N
66;Mr Rock & Roll;0:3:35;\N
67;Poison Prince;0:3:29;\N
68;Slow It Down;0:3:53;\N
69;This Is The Life;0:3:7;\N
70;Anything;0:4:25;\N
71;Boom Boom;0:2:51;\N
72;Broughtupcy;0:9:36;\N
73;Doggie;0:4:2;\N
74;Forever;0:3:36;\N
75;Hornin' De Hornaman;0:3:39;\N
76;Suck Me;0:3:42;\N
77;Cure For Me;0:3:22;\N
78;Giving In To The Love;0:3:1;\N
79;Murder Song;0:3:20;\N
80;Runaway;0:4:9;\N
81;Running With The Wolves;0:3:15;\N
82;Meant to Be;0:2:44;\N
83;I Got You;0:3:12;\N
84;I'm a Mess;0:3:16;\N
85;I'm Gonna Show You Crazy;0:3:28;\N
86;Sacrifice;0:2:41;\N
87;Self Control;0:2:55;\N
88;You Can't Stop The Girl;0:2:38;\N
89;Colors;0:4:22;\N
90;Debra;0:5:43;\N
91;Dreams;0:5:14;\N
92;E-Pro;0:3:20;\N
93;Loser;0:3:56;\N
94;Ramona;0:4:22;\N
95;Sexx Laws;0:3:39;\N
96;Up All Night;0:3:11;\N
97;Where It's At;0:5:31;\N
98;all the good girls go to hell;0:2:49;\N
99;bad guy;0:3:14;\N
100;bellyache;0:2:59;\N
101;bury a friend;0:3:13;\N
102;COPYCAT;0:3:15;\N
103;everything i wanted;0:4:5;\N
104;Happier Than Ever;0:4:59;\N
105;idontwannabeyouanymore;0:3:24;\N
106;Lovely;0:3:20;\N
107;Lost Cause;0:3:33;\N
108;No Time To Die;0:4:2;\N
109;Ocean Eyes;0:3:20;\N
110;Therefore I Am;0:2:54;\N
111;What Was I Made For;0:3:42;\N
112;when the party's over;0:3:20;\N
113;All You Never Say;0:4:38;\N
114;Best Shot;0:2:54;\N
115;Keeping Your Head Up;0:3:28;\N
116;Loneliness;0:3:22;\N
117;Not About Angels;0:3:10;\N
118;Strange Birds;0:3:4;\N
119;Tee Shirt;0:2:40;\N
120;Wings;0:4:12;\N
121;All Along the Watchtower;0:2:31;\N
122;Ballad Of A Thin Man;0:5:58;\N
123;Blowin' in the Wind;0:2:46;\N
124;Desolation Row;0:11:21;\N
125;Forever Young;0:4:56;\N
126;Girl from the North Country;0:3:20;\N
127;House of the Rising Sun;0:5:18;\N
128;Hurricane;0:8:33;\N
129;Knockin' On Heaven's Door;0:2:30;\N
130;Like a Rolling Stone;0:6:28;\N
131;Masters of War;0:4:31;\N
132;Mississippi;0:5:21;\N
133;Mr. Tambourine Man;0:5:27;\N
134;One More Cup of Coffee;0:3:45;\N
135;Queen Jane Approximately;0:5:29;\N
136;Shelter from the Storm;0:5:1;\N
137;Subterranean Homesick Blues;0:2:21;\N
138;Tangled up in Blue;0:5:42;\N
139;The Times They Are A-Changin';0:3:12;\N
140;Things Have Changed;0:5:8;\N
141;Congratulations;0:3:30;\N
142;End Of The Line;0:3:30;\N
143;Handle With Care;0:3:20;\N
144;Like a Ship;0:3:31;\N
145;Tweeter And The Monkey Man;0:5:28;\N
146;Falling for You;0:3:20;\N
147;Haha, Hi;0:3:35;\N
148;Long Drives;0:2:40;\N
149;Psycho;0:1:41;\N
150;Toxic;0:2:48;\N
151;Two Moons;0:3:45;\N
152;Помоги;0:3:23;\N
153;Беги;0:3:16;\N
154;Береги;0:3:27;\N
155;Верхних этажей тайная любовь;0:3:30;\N
156;Взлетай;0:3:38;\N
157;Где рассвет;0:3:19;\N
158;Город ночной;0:3:17;\N
159;Ты знаешь;0:3:7;\N
160;В поисках кайфа;0:3:6;\N
161;Неприкасаемые;0:3:13;\N
162;Лотосы;0:3:18;\N
163;Мама;0:3:17;\N
164;Мегахит;0:2:58;\N
165;Небо вспомнит о нас;0:3:17;\N
166;Невидимый свет;0:2:56;\N
167;Она одна для меня;0:3:8;\N
168;Опалив крылья;0:3:1;\N
169;Острова;0:3:5;\N
170;О тебе;0:3:19;\N
171;По волнам;0:3:19;\N
172;Пока город спит;0:3:45;\N
173;Просто лети;0:3:10;\N
174;Сны наяву;0:3:34;\N
175;Ты всегда ждёшь меня;0:3:29;\N
176;Штрихи;0:3:16;\N
177;Biblical;0:3:50;\N
178;Come Back Home;0:3:11;\N
179;No Matter What;0:3:57;\N
180;What I Miss Most;0:3:51;\N
181;You Are The Reason;0:3:24;\N
182;Call Me Maybe;0:3:14;\N
183;Cut To The Feeling;0:3:28;\N
184;Emotion;0:3:17;\N
185;I Really Like You;0:3:25;\N
186;Sour Candy;0:3:2;\N
187;Let's Be Friends;0:3:10;\N
188;Run Away With Me;0:4:11;\N
189;Tonight I’m Getting Over You;0:3:39;\N
190;Father And Son;0:3:40;\N
191;Lady D'Arbanville;0:3:39;\N
192;Morning Has Broken;0:3:17;\N
193;Peace Train;0:4:8;\N
194;The First Cut Is The Deepest;0:3:1;\N
195;The Wind;0:1:44;\N
196;Wild World;0:3:21;\N
197;Dors;0:3:4;\N
198;Emmenez-moi;0:3:32;\N
199;Hier encore;0:2:21;\N
200;La Bohème;0:4:4;\N
201;She;0:2:35;\N
202;Une vie d'amour;0:3:27;\N
203;Attention;0:3:32;\N
204;Girlfriend;0:2:57;\N
205;How Long;0:3:18;\N
206;LA Girls;0:3:17;\N
207;Light Switch;0:3:6;\N
208;Marvin Gaye;0:3:11;\N
209;One Call Away;0:3:12;\N
210;We Don't Talk Anymore;0:3:38;\N
211;Boom Clap;0:2:50;\N
212;Boys;0:2:43;\N
213;Break The Rules;0:3:24;\N
214;Famous;0:3:52;\N
215;London Queen;0:2:51;\N
216;Red Balloon;0:3:29;\N
217;Speed Drive;0:1:58;\N
218;1999;0:3:9;\N
219;2099;0:3:25;\N
220;arms;0:4:21;\N
221;A Thousand Years;0:4:45;\N
222;human;0:4:11;\N
223;Jar of Hearts;0:4:7;\N
224;sea of lovers;0:3:35;\N
225;Bad Day;0:3:54;\N
226;Best of Me;0:3:57;\N
227;Birthday Suits;0:2:54;\N
228;Come Back Home;0:3:49;\N
229;Crazy All My Life;0:4:26;\N
230;Free Loop;0:3:45;\N
231;My so Called Life;0:3:34;\N
232;Selfish;0:3:32;\N
233;Глупые мечты;0:3:38;\N
234;Давай всё;0:3:13;\N
235;Драмы;0:2:50;\N
236;Кто ты;0:3:18;\N
237;Птицы;0:3:20;\N
238;Тону;0:2:40;\N
239;Ashes To Ashes;0:3:37;\N
240;Blackstar;0:9:58;\N
241;Changes;0:3:37;\N
242;Heroes;0:6:11;\N
243;Lazarus;0:6:24;\N
244;Let's Dance;0:7:37;\N
245;Life On Mars;0:3:54;\N
246;Modern Love;0:4:48;\N
247;Moonage Daydream;0:4:41;\N
248;Rebel Rebel;0:4:33;\N
249;Space Oddity;0:5:18;\N
250;Starman;0:4:20;\N
251;The Man Who Sold The World;0:4:1;\N
252;Valentine's Day;0:3:2;\N
253;Ziggy Stardust;0:3:14;\N
254;Bad Girl;0:3:7;\N
255;Hide Away;0:3:12;\N
256;Insomnia;0:3:0;\N
257;New;0:3:51;\N
258;Sit Still, Look Pretty;0:3:22;\N
259;What If I Told You;0:2:48;\N
260;Carmensita;0:4:49;\N
261;Für Hildegard von Bingen;0:2:36;\N
262;Life During Wartime;0:4:48;\N
263;Mi Negrita;0:3:25;\N
264;Santa Maria Da Feira;0:4:35;\N
265;End of Night;0:3:59;\N
266;Life for Rent;0:3:41;\N
267;No Freedom;0:3:16;\N
268;Thank You;0:3:38;\N
269;White Flag;0:3:37;\N
270;La lontananza;0:4:22;\N
271;Lazzarella;0:3:8;\N
272;Marinai donne e guai;0:2:51;\N
273;Piove;0:3:2;\N
274;Volare;0:3:36;\N
275;American Pie;0:8:37;\N
276;And I Love You So;0:4:18;\N
277;Birthday Song;0:2:38;\N
278;Castles In The Air;0:3:43;\N
279;Dreidel;0:3:47;\N
280;Vincent;0:4:4;\N
281;Barabajagal;0:3:19;\N
282;Catch The Wind;0:2:54;\N
283;Hurdy Gurdy Man;0:3:14;\N
284;I Am The Shaman;0:4:22;\N
285;Mellow Yellow;0:3:42;\N
286;Season of the Witch;0:4:57;\N
