1;12 стульев;Валерий Золотухин;Полосатая жизнь, Там, где любовь;2;0:5:0;Саундтреки
2;A Nightmare on Elm Street;Charles Bernstein;Main Title, Prologue;2;0:4:7;Саундтреки
3;Dirty Dancing;Bill Medley, Jennifer Warnes;The Time of My Life;1;0:4:50;Саундтреки
4;Friday the 13th;Harry Manfredini;Overlay of Evil;1;0:3:33;Саундтреки
5;"Geometry Dash; Geometry Dash Meltdown; Geometry Dash SubZero; Geometry Dash World";"dj-Nate, DJVI, F-777, ForeverBound, MDK, OcularNebula, Step, Waterflame; F-777; Boom Kitty, Bossfight, MDK; Dex Arson, F-777, Waterflame";"Clubstep, Electrodynamix, Theory of Everything, Theory of Everything 2, Back On Track, Base After Base, Can't Let Go, Cycles, Dry Out, xStep, Deadlocked, Stereo Madness, Fingerbang, Geometry Dash, Stay Inside Me, Polargeist, Blast Processing, Clutterfunk, Electroman Adventures, Geometrical Dominator, Hexagon Force, Jumper, Time Machine; Airborne Robots, The Seven Seas, Viking Arena; Power Trip, Nock Em, Press Start; Beast Mode, Embers, Frontlines, Machina, Payload, Round 1, Years, Monster Dance Off, Space Pirates, Striker";39;2:16:56;Саундтреки
6;Gravity Falls;Brad Breeck;Gravity Falls Main Title Theme;1;0:3:20;Саундтреки
7;Grease;Frankie Valli, John Travolta, Jeff Conaway, Olivia Newton-John;Grease, Greased Lightnin', Summer Nights, You're The One That I Want, Sandy, Hopelessly Devoted To You, We Go Together, Look at Me, I'm Sandra Dee;8;0:23:17;Саундтреки
8;Halloween;John Carpenter;Main Title;1;0:2:56;Саундтреки
9;Harry Potter;John Williams;Hedwig's Theme;1;0:5:9;Саундтреки
10;"High School Musical; High School Musical 2; High School Musical 3: Senior Year";"Ashley Tisdale, Lucas Grabeel, Chris Warren Jr., Kaycee Stroh, Dutch Whitlock, Vanessa Hudgens, Zac Efron, Corbin Bleu, Monique Coleman; Ashley Tisdale, Lucas Grabeel, Corbin Bleu, Zac Efron, Vanessa Hudgens, Monique Coleman, Chris Warren Jr., Kaycee Stroh, Olesya Rulin, Ryne Sanborn; Ashley Tisdale, Lucas Grabeel, Vanessa Hudgens, Zac Efron, Corbin Bleu, Monique Coleman, Chris Warren Jr., Kaycee Stroh, Olesya Rulin, Ryne Sanborn";"Bop To The Top, Stick To The Status Quo, What I've Been Looking For, When There Was Me And You, Get'cha Head In The Game, We're All In This Together, I Can't Take My Eyes Off Of You, Breaking Free, Start Of Something New; Fabulous, Humuhumunukunukuapua'a, I Don't Dance, Bet On It, All for One, What Time Is It, Work This Out, Everyday, Gotta Go My Own Way, You Are The Music In Me; I Want It All, Walk Away, The Boys Are Back, Scream, A Night To Remember, High School Musical, Can I Have This Dance, Now Or Never, Just Wanna Be With You, Right Here, Right Now";29;1:42:9;Саундтреки
11;Pirates of the Caribbean;Klaus Badelt;He's A Pirate;1;0:1:30;Саундтреки
12;Requiem for a Dream;Clint Mansell;Lux Aeterna;1;0:3:54;Саундтреки
13;Rick and Morty;Ryan Elder;Rick and Morty Theme;1;0:0:36;Саундтреки
14;Saw;Charlie Clouser;Hello Zepp + Overture;1;0:3:52;Саундтреки
15;Scarface;Giorgio Moroder, Paul Engemann;Tony's Theme, Scarface;2;0:6:13;Саундтреки
16;Silent Hill;Akira Yamaoka;Promise;1;0:1:45;Саундтреки
